개최년도,지표명,지표값,연도_날짜,그룹
2025,외부방문자 유입,0.573,2025-01-01,축제기간
2025,현지인방문자 유입,0.908,2025-01-01,축제기간
2025,내비게이션 검색량,0.403,2025-01-01,축제기간
2025,관광소비,0.659,2025-01-01,축제기간
2025,축제지 집중률,0.67,2025-01-01,축제기간
2024,외부방문자 유입,0.772,2024-01-01,축제기간
2024,현지인방문자 유입,0.942,2024-01-01,축제기간
2024,내비게이션 검색량,0.715,2024-01-01,축제기간
2024,관광소비,0.366,2024-01-01,축제기간
2024,축제지 집중률,0.858,2024-01-01,축제기간
2023,외부방문자 유입,0.912,2023-01-01,축제기간
2023,현지인방문자 유입,0.914,2023-01-01,축제기간
2023,내비게이션 검색량,0.799,2023-01-01,축제기간
2023,관광소비,0.383,2023-01-01,축제기간
2023,축제지 집중률,0.867,2023-01-01,축제기간
2022,외부방문자 유입,0.649,2022-01-01,축제기간
2022,현지인방문자 유입,0.849,2022-01-01,축제기간
2022,내비게이션 검색량,0.585,2022-01-01,축제기간
2022,관광소비,0.396,2022-01-01,축제기간
2022,축제지 집중률,0.746,2022-01-01,축제기간
2019,외부방문자 유입,0.776,2019-01-01,축제기간
2019,현지인방문자 유입,0.901,2019-01-01,축제기간
2019,내비게이션 검색량,0.815,2019-01-01,축제기간
2019,관광소비,0.381,2019-01-01,축제기간
2019,축제지 집중률,0.879,2019-01-01,축제기간
2018,외부방문자 유입,0.61,2018-01-01,축제기간
2018,현지인방문자 유입,0.788,2018-01-01,축제기간
2018,내비게이션 검색량,0.572,2018-01-01,축제기간
2018,관광소비,0.382,2018-01-01,축제기간
2018,축제지 집중률,0.693,2018-01-01,축제기간
2025,외부방문자 유입,0.42,2025-01-01,비축제기간
2025,현지인방문자 유입,0.785,2025-01-01,비축제기간
2025,내비게이션 검색량,0.326,2025-01-01,비축제기간
2025,관광소비,0.591,2025-01-01,비축제기간
2025,축제지 집중률,0.532,2025-01-01,비축제기간
2024,외부방문자 유입,0.551,2024-01-01,비축제기간
2024,현지인방문자 유입,0.737,2024-01-01,비축제기간
2024,내비게이션 검색량,0.469,2024-01-01,비축제기간
2024,관광소비,0.35,2024-01-01,비축제기간
2024,축제지 집중률,0.666,2024-01-01,비축제기간
2023,외부방문자 유입,0.585,2023-01-01,비축제기간
2023,현지인방문자 유입,0.689,2023-01-01,비축제기간
2023,내비게이션 검색량,0.45,2023-01-01,비축제기간
2023,관광소비,0.359,2023-01-01,비축제기간
2023,축제지 집중률,0.638,2023-01-01,비축제기간
2022,외부방문자 유입,0.584,2022-01-01,비축제기간
2022,현지인방문자 유입,0.81,2022-01-01,비축제기간
2022,내비게이션 검색량,0.499,2022-01-01,비축제기간
2022,관광소비,0.387,2022-01-01,비축제기간
2022,축제지 집중률,0.68,2022-01-01,비축제기간
2019,외부방문자 유입,0.536,2019-01-01,비축제기간
2019,현지인방문자 유입,0.736,2019-01-01,비축제기간
2019,내비게이션 검색량,0.463,2019-01-01,비축제기간
2019,관광소비,0.352,2019-01-01,비축제기간
2019,축제지 집중률,0.666,2019-01-01,비축제기간
2018,외부방문자 유입,0.548,2018-01-01,비축제기간
2018,현지인방문자 유입,0.738,2018-01-01,비축제기간
2018,내비게이션 검색량,0.42,2018-01-01,비축제기간
2018,관광소비,0.374,2018-01-01,비축제기간
2018,축제지 집중률,0.604,2018-01-01,비축제기간
