연도,지표명,증감률,연도_날짜
2020,관광소비,-22.9,2020-01-01
2021,방문자유입,0.8,2021-01-01
2021,숙박방문자 비율,-7.3,2021-01-01
2021,체류시간,-1.6,2021-01-01
2021,목적지 검색량,29.9,2021-01-01
2021,관광소비,1.9,2021-01-01
2022,방문자유입,18.7,2022-01-01
2022,숙박방문자 비율,19.4,2022-01-01
2022,체류시간,-4.4,2022-01-01
2022,목적지 검색량,36.9,2022-01-01
2022,관광소비,16.0,2022-01-01
2023,방문자유입,4.1,2023-01-01
2023,숙박방문자 비율,9.2,2023-01-01
2023,체류시간,2.4,2023-01-01
2023,목적지 검색량,7.8,2023-01-01
2023,관광소비,1.5,2023-01-01
2024,방문자유입,7.4,2024-01-01
2024,숙박방문자 비율,-2.4,2024-01-01
2024,체류시간,-8.9,2024-01-01
2024,목적지 검색량,-11.6,2024-01-01
2024,관광소비,0.4,2024-01-01
2025,방문자유입,8.7,2025-01-01
2025,숙박방문자 비율,1.7,2025-01-01
2025,체류시간,-4.8,2025-01-01
2025,목적지 검색량,-6.8,2025-01-01
2025,관광소비,-3.8,2025-01-01
