기준년월,연월_날짜,연도,월,외국인_방문자수,10월여부
202001,2020-01-01,2020,1,49231.0,N
202002,2020-02-01,2020,2,22890.0,N
202003,2020-03-01,2020,3,725.0,N
202004,2020-04-01,2020,4,930.0,N
202005,2020-05-01,2020,5,1045.0,N
202006,2020-06-01,2020,6,1260.0,N
202007,2020-07-01,2020,7,429.0,N
202008,2020-08-01,2020,8,777.0,N
202009,2020-09-01,2020,9,598.0,N
202010,2020-10-01,2020,10,522.0,Y
202011,2020-11-01,2020,11,415.0,N
202012,2020-12-01,2020,12,392.0,N
202101,2021-01-01,2021,1,1725.0,N
202102,2021-02-01,2021,2,2273.0,N
202103,2021-03-01,2021,3,3524.0,N
202104,2021-04-01,2021,4,3027.0,N
202105,2021-05-01,2021,5,2672.0,N
202106,2021-06-01,2021,6,2586.0,N
202107,2021-07-01,2021,7,2663.0,N
202108,2021-08-01,2021,8,3682.0,N
202109,2021-09-01,2021,9,3869.0,N
202110,2021-10-01,2021,10,3891.0,Y
202111,2021-11-01,2021,11,3098.0,N
202112,2021-12-01,2021,12,3072.0,N
202201,2022-01-01,2022,1,3125.0,N
202202,2022-02-01,2022,2,4841.0,N
202203,2022-03-01,2022,3,4404.0,N
202204,2022-04-01,2022,4,4891.0,N
202205,2022-05-01,2022,5,6870.0,N
202206,2022-06-01,2022,6,9528.0,N
202207,2022-07-01,2022,7,12531.0,N
202208,2022-08-01,2022,8,15026.0,N
202209,2022-09-01,2022,9,15002.0,N
202210,2022-10-01,2022,10,16769.0,Y
202211,2022-11-01,2022,11,16105.0,N
202212,2022-12-01,2022,12,17547.0,N
202301,2023-01-01,2023,1,27029.0,N
202302,2023-02-01,2023,2,30387.0,N
202303,2023-03-01,2023,3,28290.0,N
202304,2023-04-01,2023,4,68150.0,N
202305,2023-05-01,2023,5,74214.0,N
202306,2023-06-01,2023,6,67953.0,N
202307,2023-07-01,2023,7,76988.0,N
202308,2023-08-01,2023,8,90563.0,N
202309,2023-09-01,2023,9,83468.0,N
202310,2023-10-01,2023,10,90352.0,Y
202311,2023-11-01,2023,11,76094.0,N
202312,2023-12-01,2023,12,72225.0,N
202401,2024-01-01,2024,1,63631.0,N
202402,2024-02-01,2024,2,76613.0,N
202403,2024-03-01,2024,3,76927.0,N
202404,2024-04-01,2024,4,85166.0,N
202405,2024-05-01,2024,5,80112.0,N
202406,2024-06-01,2024,6,73639.0,N
202407,2024-07-01,2024,7,85127.0,N
202408,2024-08-01,2024,8,84755.0,N
202409,2024-09-01,2024,9,84332.0,N
202410,2024-10-01,2024,10,103319.0,Y
202411,2024-11-01,2024,11,81646.0,N
202412,2024-12-01,2024,12,67315.0,N
202501,2025-01-01,2025,1,61200.0,N
202502,2025-02-01,2025,2,57318.0,N
202503,2025-03-01,2025,3,79928.0,N
202504,2025-04-01,2025,4,96364.0,N
202505,2025-05-01,2025,5,99861.0,N
202506,2025-06-01,2025,6,91004.0,N
202507,2025-07-01,2025,7,107203.0,N
202508,2025-08-01,2025,8,92834.0,N
202509,2025-09-01,2025,9,86123.0,N
202510,2025-10-01,2025,10,106093.0,Y
202511,2025-11-01,2025,11,100215.0,N
202512,2025-12-01,2025,12,78320.0,N
