연도,행사기간구분,게시물수,평균좋아요,평균댓글,평균인게이지먼트,평균외국어댓글비율,연도_날짜
2022,평상시,23,117.1,27.9,200.7,14.8,2022-01-01
2022,행사전,33,88.2,12.3,125.2,14.3,2022-01-01
2022,행사중,3,67.7,0.3,68.7,0.0,2022-01-01
2022,행사후,13,61.4,1.5,66.0,38.9,2022-01-01
2023,평상시,29,52.1,3.1,61.4,18.5,2023-01-01
2023,행사전,45,50.5,1.5,55.1,11.1,2023-01-01
2023,행사중,15,66.7,1.0,69.7,40.0,2023-01-01
2023,행사후,24,46.0,1.0,49.1,13.3,2023-01-01
2024,평상시,13,79.3,1.6,84.2,6.7,2024-01-01
2024,행사전,20,78.9,13.8,120.2,0.5,2024-01-01
2024,행사중,18,51.7,3.6,62.5,2.0,2024-01-01
2024,행사후,4,58.0,2.0,64.0,0.0,2024-01-01
2025,평상시,24,92.7,14.0,134.7,13.3,2025-01-01
2025,행사전,15,196.5,8.1,220.7,38.6,2025-01-01
2025,행사중,10,195.0,5.1,210.3,22.3,2025-01-01
2025,행사후,1,150.0,6.0,168.0,0.0,2025-01-01
2026,평상시,3,57.7,1.0,60.7,0.0,2026-01-01
