연도,월,게시물수,평균좋아요,평균인게이지먼트,평균외국어댓글비율,기준년월,연월_날짜,10월여부
2022,5,1,261.0,1128.0,53.3,202205,2022-05-01,Other
2022,6,2,64.0,77.5,12.5,202206,2022-06-01,Other
2022,8,9,128.9,165.2,12.5,202208,2022-08-01,Other
2022,9,25,96.7,143.3,,202209,2022-09-01,Other
2022,10,32,74.9,98.0,23.3,202210,2022-10-01,Oct
2022,11,3,79.7,107.7,3.4,202211,2022-11-01,Other
2023,7,3,31.0,32.0,0.0,202307,2023-07-01,Other
2023,8,14,55.9,63.4,28.3,202308,2023-08-01,Other
2023,9,32,52.7,56.3,0.0,202309,2023-09-01,Other
2023,10,59,51.5,55.4,20.4,202310,2023-10-01,Oct
2023,11,5,57.2,85.4,7.1,202311,2023-11-01,Other
2024,1,1,137.0,140.0,,202401,2024-01-01,Other
2024,3,1,122.0,137.0,,202403,2024-03-01,Other
2024,5,1,98.0,101.0,0.0,202405,2024-05-01,Other
2024,6,1,252.0,276.0,33.3,202406,2024-06-01,Other
2024,7,7,45.0,45.9,0.0,202407,2024-07-01,Other
2024,8,3,54.3,61.3,0.0,202408,2024-08-01,Other
2024,9,26,74.5,112.3,1.2,202409,2024-09-01,Other
2024,10,15,49.7,53.3,0.0,202410,2024-10-01,Oct
2025,5,3,91.7,213.7,11.1,202505,2025-05-01,Other
2025,6,6,87.0,126.5,6.2,202506,2025-06-01,Other
2025,7,7,58.9,59.3,,202507,2025-07-01,Other
2025,8,7,132.7,190.1,16.7,202508,2025-08-01,Other
2025,9,18,235.1,257.4,37.5,202509,2025-09-01,Other
2025,10,8,101.9,118.4,8.3,202510,2025-10-01,Oct
2025,12,1,86.0,86.0,,202512,2025-12-01,Other
2026,3,3,57.7,60.7,0.0,202603,2026-03-01,Other
